method,sequence,HOTA(0),LocA(0),HOTA___AUC,DetA___AUC,AssA___AUC,MOTA,IDF1,CLR_F1,IDSW,Frag
ByteTrack,pig_4,0.9164262010661816,0.8423374422323017,0.7647092351178049,0.7625150238447831,0.7669898141316238,0.9156388000609106,0.9559758423394789,0.9559758423394789,0,494.0
FAWW-Track,pig_4,0.9164262010661816,0.8423374422323017,0.7647092351178049,0.7625150238447831,0.7669898141316238,0.9156388000609106,0.9559758423394789,0.9559758423394789,0,494.0
