method,sequence,HOTA(0),LocA(0),HOTA___AUC,DetA___AUC,AssA___AUC,MOTA,IDF1,CLR_F1,IDSW,Frag
ByteTrack,pig_4,0.9150964795785348,0.7874381883694418,0.7074042384496635,0.7019741690109241,0.7141650492698094,0.8933092224231465,0.940677966101695,0.9472693032015066,6,76.0
FAWW-Track,pig_4,0.9066545997352762,0.8120373588887162,0.7267672797698993,0.7399959584976332,0.7143162216644076,0.9159132007233272,0.9325842696629212,0.9616104868913856,11,73.0
