method,sequence,HOTA(0),LocA(0),HOTA___AUC,DetA___AUC,AssA___AUC,MOTA,IDF1,CLR_F1,IDSW,Frag
ByteTrack,pig_3,0.903017789158734,0.8285443897298099,0.7422324031567678,0.7308823930941867,0.7549244499140885,0.8705673758865248,0.9252206223873664,0.9326521133302368,1,90.0
FAWW-Track,pig_3,0.8912726722532245,0.8848812176883042,0.7931666619362816,0.8074096503077242,0.780046376152478,0.9104609929078016,0.9290681502086232,0.9541029207232268,2,87.0
