method,sequence,HOTA(0),LocA(0),HOTA___AUC,DetA___AUC,AssA___AUC,MOTA,IDF1,CLR_F1,IDSW,Frag
ByteTrack,pig_1,0.3486810836691004,0.6876569093471661,0.243292008751054,0.5009971065717628,0.1208141480593125,0.3628117913832199,0.2864450127877238,0.8005115089514067,125,82.0
FAWW-Track,pig_1,0.38199545659007,0.8218605162750611,0.3144444273024001,0.7351570368217919,0.1356991036406782,0.5804988662131519,0.3196239717978848,0.9612220916568742,152,46.0
