method,sequence,HOTA(0),LocA(0),HOTA___AUC,DetA___AUC,AssA___AUC,MOTA,IDF1,CLR_F1,IDSW,Frag
ByteTrack,pig_5,0.8196347010117175,0.7992694408533947,0.6473467153602036,0.7098776226987037,0.5917815567167968,0.8820960698689956,0.8290451686678102,0.9479702687249856,17,70.0
FAWW-Track,pig_5,0.7900516440668897,0.8275445028473621,0.6483657878185197,0.7421541003388197,0.5670732224941052,0.898471615720524,0.7940841865756542,0.9579067121729238,19,69.0
